distance,consume,speed,temp_outside,AC,rain,snow,sun
8.3,4.9,26,23,0,0,0,0
12.7,4.5,39,27,0,0,0,1
16.5,4.1,47,14,0,0,0,0
20.6,4.1,38,21,0,0,0,0
16.3,4.5,58,16,0,0,0,0
18.7,4.2,65,18,1,0,0,1
36.5,3.9,54,18,0,0,0,1
19.0,5.0,35,15,1,0,0,1
16.6,4.4,46,5,1,0,0,0
29.9,4.5,32,18,1,0,0,0
16.0,3.8,42,11,0,0,0,0
21.1,5.1,33,10,0,1,0,0
16.0,3.9,40,10,0,0,0,0
11.9,5.3,34,13,0,0,0,0
10.1,4.2,35,16,0,0,0,0
31.9,4.3,33,16,0,0,0,0
18.7,4.0,60,13,0,0,0,0
10.8,4.7,48,17,0,0,0,1
19.8,4.0,56,17,0,0,0,1
11.3,4.3,38,17,0,0,0,0
11.5,5.3,53,15,0,0,0,0
21.4,5.2,51,13,0,0,0,0
32.0,4.9,53,15,0,0,0,0
41.9,4.7,53,14,0,0,0,0
211.0,4.6,80,20,0,0,0,0
216.1,5.3,90,21,0,0,0,1
25.5,3.6,27,27,0,0,0,1
16.6,4.2,52,15,0,1,0,0
25.9,4.1,43,24,0,0,0,0
16.5,4.0,48,15,0,0,0,0
22.1,3.9,29,26,0,0,0,0
18.3,4.3,46,16,0,0,0,0
16.1,4.8,36,18,0,1,0,0
16.0,4.1,46,17,0,0,0,0
16.3,4.0,35,23,0,0,0,0
16.0,3.7,44,16,0,0,0,0
18.3,4.3,46,23,0,0,0,0
4.5,5.2,23,23,0,0,0,1
17.0,4.2,48,16,0,0,0,0
6.1,5.0,35,18,0,0,0,0
6.1,5.0,33,24,0,0,0,1
17.3,4.2,36,22,0,0,0,0
6.0,4.8,27,17,0,0,0,0
16.0,4.1,45,15,0,0,0,0
15.4,4.9,55,18,0,0,0,0
15.4,4.3,39,23,0,0,0,0
16.0,3.9,35,18,0,0,0,0
15.4,4.5,52,26,0,0,0,0
16.6,4.1,48,30,1,0,0,1
15.4,5.0,48,31,1,0,0,0
16.0,4.0,43,21,1,0,0,0
15.4,4.5,42,30,0,0,0,0
16.0,3.6,43,19,0,0,0,0
20.9,4.1,33,21,0,0,0,0
32.1,3.9,47,26,0,0,0,0
15.3,6.6,16,27,1,0,0,0
28.5,4.0,44,23,1,0,0,0
11.9,3.7,33,19,0,0,0,0
14.5,4.3,36,22,0,0,0,0
16.6,4.1,49,26,0,0,0,1
16.2,4.4,39,17,1,0,0,0
16.7,3.8,44,23,0,0,0,1
8.3,5.0,52,27,0,0,0,0
5.5,3.7,33,28,0,0,0,1
13.6,3.7,33,28,0,0,0,1
16.0,3.7,39,18,0,0,0,0
16.1,4.3,38,31,1,0,0,0
16.0,3.8,45,19,0,0,0,0
15.4,4.6,42,31,1,0,0,0
14.7,5.0,25,30,1,0,0,0
