iter	RMSE
166	0.4784755485
167	0.477792221
168	0.4766914884
169	0.4757069845
170	0.4748448519
171	0.4744985705
172	0.4738077895
173	0.4734476105
174	0.4723900543
175	0.4715043769
176	0.4710987771
177	0.4705175954
178	0.4697777373
179	0.4692073562
180	0.4685262506
181	0.4675951983
182	0.4663858745
183	0.46549564
184	0.4647061603
185	0.4642667125
186	0.4640270107
187	0.4627415148
188	0.4621347617
189	0.4616698327
190	0.4612313557
191	0.4596952676
192	0.4583904483
193	0.4578748181
194	0.4571059596
195	0.4563587521
196	0.4552402883
197	0.4543607998
198	0.4527307692
199	0.4523204867
200	0.4512320115
201	0.4508011439
202	0.4502991785
203	0.44891833
204	0.4478047801
205	0.4474859606
206	0.4470285749
207	0.4459929239
208	0.4455926436
209	0.4447601826
210	0.4441660152
211	0.4440396114
212	0.4428795204
213	0.4425449599
214	0.4421923954
215	0.441784133
216	0.4414454297
217	0.439654673
218	0.4386458772
219	0.437969232
220	0.4374963861
221	0.4370581167
222	0.4366675857
223	0.4358573325
224	0.4353872762
225	0.4350078694
226	0.434633047
227	0.4330279991
228	0.4324890389
229	0.4315124471
230	0.4312147749
231	0.4293845761
232	0.4290838995
233	0.4284306069
234	0.4281354367
235	0.4278201449
236	0.4268759669
237	0.4260999931
238	0.4243073631
239	0.4239195147
240	0.4235897414
241	0.4226228153
242	0.4217144474
243	0.4213926465
244	0.4210600302
245	0.4207442617
246	0.4205017513
247	0.4204418471
248	0.4201019944
249	0.419864167
250	0.4189691804
251	0.4184769411
252	0.4181992198
253	0.4179087776
254	0.4171972979
255	0.4169725119
256	0.4169012491
257	0.4160745713
258	0.4146458404
259	0.4143760662
260	0.4140706836
261	0.4138092455
262	0.4125769549
263	0.412005011
264	0.4111863131
265	0.4093608646
266	0.4084820925
267	0.4075492901
268	0.4071383149
269	0.4068884872
270	0.4065707203
271	0.4062965561
272	0.4056126615
273	0.4054178501
274	0.404073063
275	0.4038048791
276	0.4031567622
277	0.4028796877
278	0.402243354
279	0.4019826871
280	0.4017644515
281	0.4004625071
282	0.3998512385
283	0.399517294
284	0.3989740401
285	0.3977656051
286	0.3970058677
287	0.396309523
288	0.3957678851
289	0.3944090644
290	0.3940357773
291	0.3928960061
292	0.3921138426
293	0.391277648
294	0.3905597074
295	0.389497234
296	0.3883062409
297	0.3881040355
298	0.3874926551
299	0.3872744856
300	0.3865636769
301	0.3863744708
302	0.3861904853
303	0.3856691566
304	0.3854766875
305	0.3850352539
306	0.3848594889
307	0.3846522734
308	0.3840756327
309	0.3832691537
310	0.3825887373
311	0.3824947215
312	0.3818297661
313	0.3817726853
314	0.3813189584
315	0.3808224325
316	0.3800653632
317	0.3799342053
318	0.3790086669
319	0.3777490885
320	0.376858036
321	0.3756694426
322	0.3752831204
323	0.3744956584
324	0.3737677715
325	0.373015845
326	0.372279575
327	0.3718391883
328	0.3708593979
329	0.370567847
330	0.3701365906
331	0.3700097811
332	0.3695566024
333	0.3694347329
334	0.3687521666
335	0.368119772
336	0.3675231563
337	0.3670186508
338	0.3665591267
339	0.3664941104
340	0.366065712
341	0.3655779435
342	0.3649579762
343	0.3648001905
344	0.3643404242
345	0.3631166123
346	0.3629179261
347	0.3624775709
348	0.3615683278
349	0.3614950325
350	0.3608103391
351	0.3600307998
352	0.3597554851
353	0.3593030392
354	0.3588907641
355	0.3584436238
356	0.3583368495
357	0.3573832196
358	0.356808785
359	0.3566747262
360	0.3565686046
361	0.3557833165
362	0.3549881212
363	0.3544502775
364	0.3540970782
365	0.35372145
366	0.3531079016
367	0.3529136382
368	0.3521426417
369	0.3516686509
370	0.3511056293
371	0.3505938217
372	0.350257654
373	0.3496232746
374	0.3495267723
375	0.3490597098
376	0.3485002584
377	0.3477887659
378	0.3471787368
379	0.3468137079
380	0.3464529547
381	0.3460198945
382	0.3451480263
383	0.3446984278
384	0.3443469073
385	0.3442674621
386	0.3438693202
387	0.3430422069
388	0.3429473276
389	0.3428688647
390	0.3425701896
391	0.3424820081
392	0.3421827791
393	0.3414717973
394	0.3409085526
395	0.3408231999
396	0.3402916147
397	0.3399003717
398	0.3395493806
399	0.3388345893
400	0.3381671366
401	0.3374942407
402	0.3371013727
403	0.3363727488
404	0.3358288132
405	0.3354083863
406	0.3352888355
407	0.3349753342
408	0.3344333721
409	0.3339580991
410	0.3338340254
411	0.3333620673
412	0.3327420394
413	0.3321635377
414	0.3319846849
415	0.3315379958
416	0.3314597584
417	0.3309696385
418	0.3306679218
419	0.3304278025
420	0.3299791733
421	0.3297128344
422	0.3292220877
423	0.3286260042
424	0.3281718821
425	0.3277396292
426	0.3272335649
427	0.3268892832
428	0.3262158716
429	0.3257853929
430	0.3253406232
431	0.3250052916
432	0.3246303558
433	0.3245549239
434	0.323860154
435	0.3238017288
436	0.3234827342
437	0.3230765582
438	0.3227258193
439	0.3223186748
440	0.3219549512
441	0.3214637532
442	0.3212994027
443	0.3209005857
444	0.3205845147
445	0.3204395784
446	0.3201130584
447	0.3197489099
448	0.3195324943
449	0.3194063058
450	0.319351245
451	0.3188864905
452	0.3184287795
453	0.3179738027
454	0.3176813491
455	0.3171366487
456	0.316830653
457	0.3167655662
458	0.3166760797
459	0.3166107029
460	0.3160076079
461	0.3158969025
462	0.3153637881
463	0.3148828572
464	0.3145746069
465	0.3141549847
466	0.3139176207
467	0.3137225865
468	0.313278235
469	0.313216279
470	0.3128154144
471	0.3127367352
472	0.3120710604
473	0.3115940518
474	0.3110683362
475	0.3106076276
476	0.3104199856
477	0.3102694653
478	0.3099758249
479	0.3096661457
480	0.3094988632
481	0.3091354303
482	0.3090572084
483	0.308384898
484	0.3082035871
485	0.3081260326
486	0.307710606
487	0.3072306175
488	0.3069310097
489	0.3065926675
490	0.3064268481
491	0.3061010722
492	0.3058140303
493	0.3057750869
494	0.3054346185
495	0.3052552762
496	0.3048319137
497	0.304553468
498	0.3040066199
499	0.3036780486
500	0.3034684567
501	0.3030280156
502	0.3027580379
503	0.3023027824
504	0.3021366304
505	0.3018556655
506	0.3012304843
507	0.3009675481
508	0.3005960675
509	0.3004068701
510	0.2999913251
511	0.2998089845
512	0.2996833456
513	0.2991267369
514	0.2987106674
515	0.2979881198
516	0.2977133706
517	0.297156766
518	0.2970289973
519	0.296760832
520	0.2963269083
521	0.2960565299
522	0.2958347012
523	0.2955935219
524	0.2952840791
525	0.2947094515
526	0.2945314136
527	0.2941677368
528	0.2941319306
529	0.293634231
530	0.2935192622
531	0.2931026807
532	0.293012456
533	0.2927720896
534	0.2925067996
535	0.2924146071
536	0.2918549523
537	0.2915975927
538	0.2912585417
539	0.2908716106
540	0.2904639955
541	0.2902214015
542	0.2897686059
543	0.2895421482
544	0.2892506977
545	0.2889950203
546	0.288696547
547	0.2886111779
548	0.2884055577
549	0.2878948599
550	0.2878266181
551	0.2874122795
552	0.2870546961
553	0.2866696788
554	0.2864977363
555	0.2861515083
556	0.285795076
557	0.2854862439
558	0.2853151259
559	0.2850908866
560	0.2849385813
561	0.2845436013
562	0.2842522255
563	0.2839824483
564	0.2837489325
565	0.2836697737
566	0.283374825
567	0.2832156622
568	0.2828297706
569	0.282518999
570	0.2822344154
571	0.2816210512
572	0.281283447
573	0.2810098503
574	0.2807170671
575	0.2805163802
576	0.2802559401
577	0.2797352879
578	0.2794022432
579	0.2788530948
580	0.2785601564
581	0.2784523748
582	0.2781273216
583	0.2780193678
584	0.2776825276
585	0.2775778185
586	0.2773578614
587	0.2771607326
588	0.2768985318
589	0.2765464373
590	0.2761372745
591	0.2758276411
592	0.2754203788
593	0.2751429204
594	0.274729888
595	0.2741167227
596	0.2737967501
597	0.2736065647
598	0.2735674952
599	0.2732793479
600	0.2732184497
601	0.2728123741
602	0.2725594985
603	0.2721911137
604	0.2720767077
605	0.2715913367
606	0.2711394756
607	0.2709713979
608	0.2707648671
609	0.2705401529
610	0.2704440328
611	0.2701828343
612	0.269878768
613	0.2695423684
614	0.2691195682
615	0.2688005565
616	0.2686034021
617	0.2683250193
618	0.2680971585
619	0.2675869892
620	0.2674055946
621	0.2671618274
622	0.2669521643
623	0.2666896664
624	0.2664719676
625	0.2664355572
626	0.2661237488
627	0.265877623
628	0.2653881285
629	0.2651482777
630	0.264798236
631	0.264359398
632	0.2641943341
633	0.263861053
634	0.2636328265
635	0.2633669218
636	0.2633017804
637	0.2630338641
638	0.2628735073
639	0.262504143
640	0.2622575224
641	0.2621783508
642	0.2619735437
643	0.2618916748
644	0.2616126909
645	0.2615775207
646	0.261130618
647	0.2609403637
648	0.2606413088
649	0.2604012243
650	0.2599287968
651	0.2596603413
652	0.2592930643
653	0.2590537452
654	0.2589000717
655	0.2586022719
656	0.2583763205
657	0.2580232139
658	0.2574421613
659	0.2572033684
660	0.2566862832
661	0.2566172903
662	0.2563609662
663	0.2562758273
664	0.2559723896
665	0.2557813609
666	0.2556927983
667	0.2556023846
668	0.255018782
669	0.2547966288
670	0.254719509
671	0.2544320298
672	0.2539895249
673	0.2537971728
674	0.2534081008
675	0.2531276152
676	0.2528861838
677	0.2526834595
678	0.2524332795
679	0.25228076
680	0.2522397303
681	0.2519413127
682	0.2515839267
683	0.2513119677
684	0.2512736189
685	0.2507750526
686	0.2504926527
687	0.250238015
688	0.2499861106
689	0.2494617669
690	0.249248546
691	0.2489071626
692	0.248577313
693	0.2483990077
694	0.2482659933
695	0.2477041458
696	0.2473972298
697	0.2471503356
698	0.2468406523
699	0.2466497439
700	0.2463451696
701	0.2461728347
702	0.2459393118
703	0.2455111018
704	0.2451922246
705	0.2450467738
706	0.2447627007
707	0.2446009225
708	0.2443971229
709	0.2440127398
710	0.243823768
711	0.2434712747
712	0.2433033982
713	0.2432644173
714	0.2430438489
715	0.2428975164
716	0.2426044519
717	0.2424383175
718	0.2421197049
719	0.2420605495
720	0.2418587805
721	0.2415367796
722	0.2412952089
723	0.2408980903
724	0.2405481976
725	0.2400672365
726	0.2399097434
727	0.2397253326
728	0.2394634681
729	0.2394175172
730	0.2392740236
731	0.2388824932
732	0.2384172861
733	0.2379092068
734	0.237656659
735	0.2375123606
736	0.2373387248
737	0.237208544
738	0.2370863004
739	0.2370546891
740	0.2367682917
741	0.2362533688
742	0.236220985
743	0.2359713025
744	0.235709232
745	0.2352664331
746	0.2349968983
747	0.234828568
748	0.2346442737
749	0.2344805231
750	0.2342438844
751	0.2339545071
752	0.2338032401
753	0.2337621706
754	0.2333892625
755	0.2333722345
756	0.2330697179
757	0.23284048
758	0.2326142193
759	0.2323736537
760	0.2322374975
761	0.2320288612
762	0.2318224443
763	0.2316641831
764	0.2315256213
765	0.2312797813
766	0.2309920818
767	0.230756694
768	0.2306702368
769	0.2305122872
770	0.2300932194
771	0.2299376674
772	0.2295536258
773	0.2293046492
774	0.2288901667
775	0.2286288627
776	0.2284400191
777	0.2282991799
778	0.2282816805
779	0.2281296731
780	0.2279257617
781	0.2278140468
782	0.2274080784
783	0.227246088
784	0.2271247605
785	0.2269775472
786	0.2269098323
787	0.2268962307
788	0.2265896154
789	0.2264244174
790	0.2263939029
791	0.2261692281
792	0.2261102973
793	0.2257224569
794	0.2255082875
795	0.2252501908
796	0.2251765168
797	0.2250193253
798	0.2250052535
799	0.2247688428
800	0.2245420712
801	0.2241996696
802	0.22417393
803	0.2237405251
804	0.2235618689
805	0.2235072803
806	0.2233718063
807	0.2230136241
808	0.2227699438
809	0.2225714577
810	0.2222770426
811	0.2221035368
812	0.2217756661
813	0.2216004131
814	0.2215856159
815	0.2214066633
816	0.2209060739
817	0.2205537563
818	0.2202968814
819	0.2201557898
820	0.2201376031
821	0.2198732424
822	0.2197418128
823	0.2197272338
824	0.2195920377
825	0.2195466839
826	0.2192864613
827	0.2191487358
828	0.2189804037
829	0.2188680852
830	0.2185055485
831	0.2182037359
832	0.2181304083
833	0.2179962201
834	0.2179855805
835	0.2178685728
836	0.217568803
837	0.2174274318
838	0.2174154543
839	0.2173339671
840	0.2172218
841	0.2170906667
842	0.2166822876
843	0.2164444147
844	0.2162732609
845	0.2159706358
846	0.2157673055
847	0.215538764
848	0.2153285917
849	0.2151701128
850	0.2150299879
851	0.2146062801
852	0.2143654208
853	0.2141734783
854	0.2140690995
855	0.2139419998
856	0.2137081029
857	0.2133794101
858	0.2132073081
859	0.2129689012
860	0.2128193968
861	0.2127020425
862	0.2123668924
863	0.2123542589
864	0.2122678085
865	0.2121388695
866	0.2119564023
867	0.2117327662
868	0.2115543751
869	0.2115421246
870	0.2111596405
871	0.2110034211
872	0.2109502906
873	0.2107817717
874	0.2107138975
875	0.2105387589
876	0.2104153938
877	0.2102174949
878	0.2100050562
879	0.209674508
880	0.2095257647
881	0.2093755676
882	0.2093531393
883	0.2090186583
884	0.2086948473
885	0.2085561043
886	0.208204229
887	0.2081414897
888	0.2080122115
889	0.2078934994
890	0.2078150751
891	0.2076922965
892	0.2075591048
893	0.207416233
894	0.2073889182
895	0.2070662848
896	0.2069063691
897	0.206763512
898	0.2066188599
899	0.2064618036
900	0.2062962402
901	0.2060149433
902	0.2059002702
903	0.20575007
904	0.2056261284
905	0.2055699501
906	0.2054362574
907	0.2054024281
908	0.2051985803
909	0.20503485
910	0.2048264623
911	0.204816016
912	0.2046130757
913	0.2045767401
914	0.2044557803
915	0.2044319709
916	0.204312279
917	0.2041563772
918	0.2041467466
919	0.203889282
920	0.203844345
921	0.2037310785
922	0.2033738629
923	0.2031551242
924	0.2029709239
925	0.2027254136
926	0.2025749839
927	0.202400158
928	0.2022687235
929	0.2022516665
930	0.2019649053
931	0.2017901103
932	0.2015499721
933	0.2013421
934	0.2011639486
935	0.201069059
936	0.2010172854
937	0.2008649048
938	0.2006576074
939	0.2005536448
940	0.2004051662
941	0.2002919146
942	0.200143225
943	0.2000719051
944	0.1999743318
945	0.1999199495
946	0.1998621839
947	0.1997487715
948	0.1994410569
949	0.1992600148
950	0.1990910338
951	0.1989598547
952	0.1989529546
953	0.1988258614
954	0.1986801575
955	0.198323863
956	0.1982751946
957	0.198160899
958	0.1981509542
959	0.1978426143
960	0.1978329637
961	0.1976037067
962	0.1974121705
963	0.1971637605
964	0.196944441
965	0.19658783
966	0.1965643723
967	0.1961823392
968	0.1960412822
969	0.1959078419
970	0.1958040155
971	0.1956040889
972	0.1955226046
973	0.1955075916
974	0.195247564
975	0.1952121226
976	0.1950731844
977	0.1950512111
978	0.1950006084
979	0.1949110844
980	0.1946426682
981	0.1946341424
982	0.1944419701
983	0.1942264521
984	0.1940714783
985	0.1938839844
986	0.193785949
987	0.1936653218
988	0.1936571258
989	0.193500945
990	0.1934237838
991	0.1932775164
992	0.193001952
993	0.1929225061
994	0.1927636466
995	0.1926425132
996	0.1925030584
997	0.1923620903
998	0.1922883941
999	0.1921227902
